0.02 [[1, '0.02', 'SN']]
0342 [[1, '0342', 'SN']]
0356 [[1, '0356', 'SN']]
0390 [[1, '0390', 'SN']]
0395 [[1, '0395', 'SN']]
0416 [[1, '0416', 'SN']]
0422 [[1, '0422', 'SN']]
0431 [[1, '0431', 'SN']]
0458 [[1, '0458', 'SN']]
0463 [[1, '0463', 'SN']]
051 [[1, '051', 'SN']]
0523 [[1, '0523', 'SN']]
053 [[1, '053', 'SN']]
0535 [[1, '0535', 'SN']]
0561 [[1, '0561', 'SN']]
0573 [[1, '0573', 'SN']]
0591 [[1, '0591', 'SN']]
062 [[1, '062', 'SN']]
066 [[1, '066', 'SN']]
067 [[1, '067', 'SN']]
068 [[1, '068', 'SN']]
074 [[1, '074', 'SN']]
0860 [[1, '0860', 'SN']]
0911 [[1, '0911', 'SN']]
0928 [[1, '0928', 'SN']]
0987 [[1, '0987', 'SN']]
1,2 [[1, '1,2', 'SN']]
1.028 [[1, '1.028', 'SN']]
1.04 [[1, '1.04', 'SN']]
1.05 [[1, '1.05', 'SN']]
1.09 [[1, '1.09', 'SN']]
1.1 [[1, '1.1', 'SN']]
1.13 [[1, '1.13', 'SN']]
1.14 [[1, '1.14', 'SN']]
1.17 [[1, '1.17', 'SN']]
1.20 [[1, '1.20', 'SN']]
1.24 [[1, '1.24', 'SN']]
1.29 [[1, '1.29', 'SN']]
1.32 [[1, '1.32', 'SN']]
1.34 [[1, '1.34', 'SN']]
1.37 [[1, '1.37', 'SN']]
1.38 [[1, '1.38', 'SN']]
1.42 [[1, '1.42', 'SN']]
1.47 [[1, '1.47', 'SN']]
1.52 [[1, '1.52', 'SN']]
1.55 [[1, '1.55', 'SN']]
1.62 [[1, '1.62', 'SN']]
1.63 [[1, '1.63', 'SN']]
1.74 [[1, '1.74', 'SN']]
1.77 [[1, '1.77', 'SN']]
1.79 [[1, '1.79', 'SN']]
1.82 [[1, '1.82', 'SN']]
1.83 [[1, '1.83', 'SN']]
1.84 [[1, '1.84', 'SN']]
1.87 [[1, '1.87', 'SN']]
1.89 [[1, '1.89', 'SN']]
1.95 [[1, '1.95', 'SN']]
1.98 [[1, '1.98', 'SN']]
10.0 [[1, '10.0', 'SN']]
10.08 [[1, '10.08', 'SN']]
10.18 [[1, '10.18', 'SN']]
10.2 [[1, '10.2', 'SN']]
10.22 [[1, '10.22', 'SN']]
10.23 [[1, '10.23', 'SN']]
10.27 [[1, '10.27', 'SN']]
10.32 [[1, '10.32', 'SN']]
10.34 [[1, '10.34', 'SN']]
10.4 [[1, '10.4', 'SN']]
10.6 [[1, '10.6', 'SN']]
10.7 [[1, '10.7', 'SN']]
1005 [[1, '1005', 'SN']]
1006 [[1, '1006', 'SN']]
1011 [[1, '1011', 'SN']]
1013 [[1, '1013', 'SN']]
1014 [[1, '1014', 'SN']]
102.07 [[1, '102.07', 'SN']]
102.9 [[1, '102.9', 'SN']]
1023 [[1, '1023', 'SN']]
1025 [[1, '1025', 'SN']]
1027 [[1, '1027', 'SN']]
103.5 [[1, '103.5', 'SN']]
1031 [[1, '1031', 'SN']]
1035 [[1, '1035', 'SN']]
1036 [[1, '1036', 'SN']]
1040 [[1, '1040', 'SN']]
1042 [[1, '1042', 'SN']]
1044 [[1, '1044', 'SN']]
1054 [[1, '1054', 'SN']]
1059.04 [[1, '1059.04', 'SN']]
106.5 [[1, '106.5', 'SN']]
1060 [[1, '1060', 'SN']]
1065 [[1, '1065', 'SN']]
1066 [[1, '1066', 'SN']]
1068 [[1, '1068', 'SN']]
1069 [[1, '1069', 'SN']]
1070 [[1, '1070', 'SN']]
1074 [[1, '1074', 'SN']]
1083 [[1, '1083', 'SN']]
1085 [[1, '1085', 'SN']]
1086 [[1, '1086', 'SN']]
1090 [[1, '1090', 'SN']]
1093 [[1, '1093', 'SN']]
1095 [[1, '1095', 'SN']]
1096 [[1, '1096', 'SN']]
1097 [[1, '1097', 'SN']]
1098 [[1, '1098', 'SN']]
1099 [[1, '1099', 'SN']]
11.00 [[1, '11.00', 'SN']]
11.22 [[1, '11.22', 'SN']]
11.3 [[1, '11.3', 'SN']]
1110 [[1, '1110', 'SN']]
1111 [[1, '1111', 'SN']]
1117 [[1, '1117', 'SN']]
1121 [[1, '1121', 'SN']]
1122 [[1, '1122', 'SN']]
1126 [[1, '1126', 'SN']]
1134 [[1, '1134', 'SN']]
1135 [[1, '1135', 'SN']]
1137 [[1, '1137', 'SN']]
1141 [[1, '1141', 'SN']]
1149 [[1, '1149', 'SN']]
1153 [[1, '1153', 'SN']]
1157 [[1, '1157', 'SN']]
116 [[1, '116', 'SN']]
1164 [[1, '1164', 'SN']]
1167 [[1, '1167', 'SN']]
1168 [[1, '1168', 'SN']]
117.54 [[1, '117.54', 'SN']]
1170.0 [[1, '1170.0', 'SN']]
1170.6 [[1, '1170.6', 'SN']]
1175.1 [[1, '1175.1', 'SN']]
118 [[1, '118', 'SN']]
1182.2 [[1, '1182.2', 'SN']]
1197 [[1, '1197', 'SN']]
1198 [[1, '1198', 'SN']]
12.2 [[1, '12.2', 'SN']]
12.28 [[1, '12.28', 'SN']]
12.9 [[1, '12.9', 'SN']]
1202 [[1, '1202', 'SN']]
121 [[1, '121', 'SN']]
121.6 [[1, '121.6', 'SN']]
1212 [[1, '1212', 'SN']]
1217 [[1, '1217', 'SN']]
1220 [[1, '1220', 'SN']]
1225 [[1, '1225', 'SN']]
123.41 [[1, '123.41', 'SN']]
1237 [[1, '1237', 'SN']]
124 [[1, '124', 'SN']]
1240 [[1, '1240', 'SN']]
1243 [[1, '1243', 'SN']]
1244 [[1, '1244', 'SN']]
1250 [[1, '1250', 'SN']]
1255 [[1, '1255', 'SN']]
1259 [[1, '1259', 'SN']]
1266 [[1, '1266', 'SN']]
1267 [[1, '1267', 'SN']]
127 [[1, '127', 'SN']]
1275 [[1, '1275', 'SN']]
1278 [[1, '1278', 'SN']]
1279 [[1, '1279', 'SN']]
1284 [[1, '1284', 'SN']]
129 [[1, '129', 'SN']]
1290 [[1, '1290', 'SN']]
1293 [[1, '1293', 'SN']]
13.0 [[1, '13.0', 'SN']]
13.1 [[1, '13.1', 'SN']]
13.2 [[1, '13.2', 'SN']]
13.4 [[1, '13.4', 'SN']]
13.56 [[1, '13.56', 'SN']]
13.8 [[1, '13.8', 'SN']]
13.9 [[1, '13.9', 'SN']]
1307 [[1, '1307', 'SN']]
131 [[1, '131', 'SN']]
1314 [[1, '1314', 'SN']]
1317 [[1, '1317', 'SN']]
1320 [[1, '1320', 'SN']]
1333 [[1, '1333', 'SN']]
1335 [[1, '1335', 'SN']]
1336 [[1, '1336', 'SN']]
1343 [[1, '1343', 'SN']]
1344 [[1, '1344', 'SN']]
1350 [[1, '1350', 'SN']]
1353 [[1, '1353', 'SN']]
1356 [[1, '1356', 'SN']]
1361 [[1, '1361', 'SN']]
1363 [[1, '1363', 'SN']]
1368 [[1, '1368', 'SN']]
1372 [[1, '1372', 'SN']]
1377 [[1, '1377', 'SN']]
1378 [[1, '1378', 'SN']]
1386 [[1, '1386', 'SN']]
1387 [[1, '1387', 'SN']]
1396 [[1, '1396', 'SN']]
14.2 [[1, '14.2', 'SN']]
14.3 [[1, '14.3', 'SN']]
14.40 [[1, '14.40', 'SN']]
14.67 [[1, '14.67', 'SN']]
14.8 [[1, '14.8', 'SN']]
14.82 [[1, '14.82', 'SN']]
14.95 [[1, '14.95', 'SN']]
1404 [[1, '1404', 'SN']]
1409 [[1, '1409', 'SN']]
1410 [[1, '1410', 'SN']]
1413 [[1, '1413', 'SN']]
1418 [[1, '1418', 'SN']]
1432 [[1, '1432', 'SN']]
1433 [[1, '1433', 'SN']]
1436 [[1, '1436', 'SN']]
1437 [[1, '1437', 'SN']]
1438 [[1, '1438', 'SN']]
1440 [[1, '1440', 'SN']]
1445 [[1, '1445', 'SN']]
1450 [[1, '1450', 'SN']]
1454 [[1, '1454', 'SN']]
1455 [[1, '1455', 'SN']]
1458 [[1, '1458', 'SN']]
1459 [[1, '1459', 'SN']]
1469 [[1, '1469', 'SN']]
1472 [[1, '1472', 'SN']]
1477 [[1, '1477', 'SN']]
1485 [[1, '1485', 'SN']]
1486 [[1, '1486', 'SN']]
149 [[1, '149', 'SN']]
1494 [[1, '1494', 'SN']]
15.0 [[1, '15.0', 'SN']]
15.3 [[1, '15.3', 'SN']]
15.9 [[1, '15.9', 'SN']]
1501 [[1, '1501', 'SN']]
1502 [[1, '1502', 'SN']]
1505 [[1, '1505', 'SN']]
1508 [[1, '1508', 'SN']]
151 [[1, '151', 'SN']]
1510 [[1, '1510', 'SN']]
1516 [[1, '1516', 'SN']]
1520 [[1, '1520', 'SN']]
1524 [[1, '1524', 'SN']]
1529 [[1, '1529', 'SN']]
153.1 [[1, '153.1', 'SN']]
1532 [[1, '1532', 'SN']]
1539 [[1, '1539', 'SN']]
154.76 [[1, '154.76', 'SN']]
1544 [[1, '1544', 'SN']]
155.6 [[1, '155.6', 'SN']]
1550 [[1, '1550', 'SN']]
1558 [[1, '1558', 'SN']]
1559 [[1, '1559', 'SN']]
1560 [[1, '1560', 'SN']]
1564 [[1, '1564', 'SN']]
1578 [[1, '1578', 'SN']]
158 [[1, '158', 'SN']]
16.2 [[1, '16.2', 'SN']]
16.25 [[1, '16.25', 'SN']]
16.6 [[1, '16.6', 'SN']]
16.63 [[1, '16.63', 'SN']]
1601 [[1, '1601', 'SN']]
1602 [[1, '1602', 'SN']]
1603 [[1, '1603', 'SN']]
1604 [[1, '1604', 'SN']]
1619 [[1, '1619', 'SN']]
162 [[1, '162', 'SN']]
1628 [[1, '1628', 'SN']]
163 [[1, '163', 'SN']]
1632 [[1, '1632', 'SN']]
1635 [[1, '1635', 'SN']]
1636 [[1, '1636', 'SN']]
164 [[1, '164', 'SN']]
1643 [[1, '1643', 'SN']]
165 [[1, '165', 'SN']]
166.2 [[1, '166.2', 'SN']]
1663 [[1, '1663', 'SN']]
1666 [[1, '1666', 'SN']]
1673 [[1, '1673', 'SN']]
1678 [[1, '1678', 'SN']]
1688 [[1, '1688', 'SN']]
1698 [[1, '1698', 'SN']]
17.1 [[1, '17.1', 'SN']]
17.6 [[1, '17.6', 'SN']]
17.62 [[1, '17.62', 'SN']]
17.78 [[1, '17.78', 'SN']]
17.8 [[1, '17.8', 'SN']]
17.81 [[1, '17.81', 'SN']]
17.9 [[1, '17.9', 'SN']]
170.5 [[1, '170.5', 'SN']]
1702 [[1, '1702', 'SN']]
1715 [[1, '1715', 'SN']]
1717 [[1, '1717', 'SN']]
172.5 [[1, '172.5', 'SN']]
173 [[1, '173', 'SN']]
1733 [[1, '1733', 'SN']]
1740 [[1, '1740', 'SN']]
1744 [[1, '1744', 'SN']]
1750 [[1, '1750', 'SN']]
1752 [[1, '1752', 'SN']]
1758 [[1, '1758', 'SN']]
176 [[1, '176', 'SN']]
1776 [[1, '1776', 'SN']]
1778 [[1, '1778', 'SN']]
1779 [[1, '1779', 'SN']]
178 [[1, '178', 'SN']]
1780 [[1, '1780', 'SN']]
1784 [[1, '1784', 'SN']]
179 [[1, '179', 'SN']]
17973 [[1, '17973', 'SN']]
1799 [[1, '1799', 'SN']]
18.31 [[1, '18.31', 'SN']]
18.6 [[1, '18.6', 'SN']]
18.64 [[1, '18.64', 'SN']]
18.71 [[1, '18.71', 'SN']]
1808 [[1, '1808', 'SN']]
1811 [[1, '1811', 'SN']]
1812 [[1, '1812', 'SN']]
1815 [[1, '1815', 'SN']]
1817 [[1, '1817', 'SN']]
1823 [[1, '1823', 'SN']]
1828 [[1, '1828', 'SN']]
1831 [[1, '1831', 'SN']]
1833 [[1, '1833', 'SN']]
1834 [[1, '1834', 'SN']]
184 [[1, '184', 'SN']]
1842 [[1, '1842', 'SN']]
185 [[1, '185', 'SN']]
1853 [[1, '1853', 'SN']]
1872 [[1, '1872', 'SN']]
1873 [[1, '1873', 'SN']]
1882 [[1, '1882', 'SN']]
1888 [[1, '1888', 'SN']]
189 [[1, '189', 'SN']]
1891 [[1, '1891', 'SN']]
1895 [[1, '1895', 'SN']]
1896 [[1, '1896', 'SN']]
19.0 [[1, '19.0', 'SN']]
19.1 [[1, '19.1', 'SN']]
19.23 [[1, '19.23', 'SN']]
19.27 [[1, '19.27', 'SN']]
19.6 [[1, '19.6', 'SN']]
19.66 [[1, '19.66', 'SN']]
19.7 [[1, '19.7', 'SN']]
190 [[1, '190', 'SN']]
1906 [[1, '1906', 'SN']]
1907 [[1, '1907', 'SN']]
1908 [[1, '1908', 'SN']]
1909 [[1, '1909', 'SN']]
1910 [[1, '1910', 'SN']]
1911 [[1, '1911', 'SN']]
1914 [[1, '1914', 'SN']]
1919 [[1, '1919', 'SN']]
1925 [[1, '1925', 'SN']]
1926 [[1, '1926', 'SN']]
1931 [[1, '1931', 'SN']]
1932 [[1, '1932', 'SN']]
1934 [[1, '1934', 'SN']]
1935 [[1, '1935', 'SN']]
1937 [[1, '1937', 'SN']]
1939 [[1, '1939', 'SN']]
1940 [[1, '1940', 'SN']]
1941 [[1, '1941', 'SN']]
1942 [[1, '1942', 'SN']]
1946 [[1, '1946', 'SN']]
1949 [[1, '1949', 'SN']]
195 [[1, '195', 'SN']]
1955 [[1, '1955', 'SN']]
1956 [[1, '1956', 'SN']]
1963 [[1, '1963', 'SN']]
1965 [[1, '1965', 'SN']]
1967 [[1, '1967', 'SN']]
1969 [[1, '1969', 'SN']]
197 [[1, '197', 'SN']]
1973 [[1, '1973', 'SN']]
1974 [[1, '1974', 'SN']]
1982.12 [[1, '1982.12', 'SN']]
1982.5 [[1, '1982.5', 'SN']]
1982.7.3 [[1, '1982.7.3', 'SN']]
1982.8.17 [[1, '1982.8.17', 'SN']]
1983 [[1, '1983', 'SN']]
1986 [[1, '1986', 'SN']]
1988.7.29 [[1, '1988.7.29', 'SN']]
1990.4.4 [[1, '1990.4.4', 'SN']]
2.07 [[1, '2.07', 'SN']]
2.08 [[1, '2.08', 'SN']]
2.09 [[1, '2.09', 'SN']]
2.12 [[1, '2.12', 'SN']]
2.14 [[1, '2.14', 'SN']]
2.23 [[1, '2.23', 'SN']]
2.25 [[1, '2.25', 'SN']]
2.38 [[1, '2.38', 'SN']]
2.45 [[1, '2.45', 'SN']]
2.57 [[1, '2.57', 'SN']]
2.89 [[1, '2.89', 'SN']]
2.92 [[1, '2.92', 'SN']]
2.97 [[1, '2.97', 'SN']]
20.2 [[1, '20.2', 'SN']]
20.25 [[1, '20.25', 'SN']]
20.5 [[1, '20.5', 'SN']]
20.7 [[1, '20.7', 'SN']]
20.8 [[1, '20.8', 'SN']]
20.85 [[1, '20.85', 'SN']]
2000.12.24 [[1, '2000.12.24', 'SN']]
2001.6.15 [[1, '2001.6.15', 'SN']]
2002.7.5 [[1, '2002.7.5', 'SN']]
2003.1.8 [[1, '2003.1.8', 'SN']]
2020 [[1, '2020', 'SN']]
2021 [[1, '2021', 'SN']]
2027 [[1, '2027', 'SN']]
2030 [[1, '2030', 'SN']]
2050 [[1, '2050', 'SN']]
2067 [[1, '2067', 'SN']]
208 [[1, '208', 'SN']]
2080 [[1, '2080', 'SN']]
209 [[1, '209', 'SN']]
21.03 [[1, '21.03', 'SN']]
21.1 [[1, '21.1', 'SN']]
21.125 [[1, '21.125', 'SN']]
21.2 [[1, '21.2', 'SN']]
21.5 [[1, '21.5', 'SN']]
2103 [[1, '2103', 'SN']]
211 [[1, '211', 'SN']]
2110 [[1, '2110', 'SN']]
213 [[1, '213', 'SN']]
214 [[1, '214', 'SN']]
2191 [[1, '2191', 'SN']]
2198 [[1, '2198', 'SN']]
22.11 [[1, '22.11', 'SN']]
22.71 [[1, '22.71', 'SN']]
2205 [[1, '2205', 'SN']]
221 [[1, '221', 'SN']]
2235 [[1, '2235', 'SN']]
2240 [[1, '2240', 'SN']]
2243 [[1, '2243', 'SN']]
2244 [[1, '2244', 'SN']]
2250 [[1, '2250', 'SN']]
2256 [[1, '2256', 'SN']]
2259 [[1, '2259', 'SN']]
22701 [[1, '22701', 'SN']]
229 [[1, '229', 'SN']]
2297 [[1, '2297', 'SN']]
23.18 [[1, '23.18', 'SN']]
23.5 [[1, '23.5', 'SN']]
23.86 [[1, '23.86', 'SN']]
2300 [[1, '2300', 'SN']]
2303 [[1, '2303', 'SN']]
231 [[1, '231', 'SN']]
232 [[1, '232', 'SN']]
2323 [[1, '2323', 'SN']]
2342 [[1, '2342', 'SN']]
2348 [[1, '2348', 'SN']]
2355 [[1, '2355', 'SN']]
2380 [[1, '2380', 'SN']]
24.3 [[1, '24.3', 'SN']]
24.5 [[1, '24.5', 'SN']]
24.53 [[1, '24.53', 'SN']]
2422 [[1, '2422', 'SN']]
244 [[1, '244', 'SN']]
245 [[1, '245', 'SN']]
2466 [[1, '2466', 'SN']]
2480 [[1, '2480', 'SN']]
2482 [[1, '2482', 'SN']]
2499 [[1, '2499', 'SN']]
25.0 [[1, '25.0', 'SN']]
25.3 [[1, '25.3', 'SN']]
25.4 [[1, '25.4', 'SN']]
251 [[1, '251', 'SN']]
2521 [[1, '2521', 'SN']]
253 [[1, '253', 'SN']]
254 [[1, '254', 'SN']]
2540 [[1, '2540', 'SN']]
2550 [[1, '2550', 'SN']]
2570 [[1, '2570', 'SN']]
2573 [[1, '2573', 'SN']]
2575 [[1, '2575', 'SN']]
26.0 [[1, '26.0', 'SN']]
26.5 [[1, '26.5', 'SN']]
26.6 [[1, '26.6', 'SN']]
26.7 [[1, '26.7', 'SN']]
261 [[1, '261', 'SN']]
2615 [[1, '2615', 'SN']]
263 [[1, '263', 'SN']]
2640 [[1, '2640', 'SN']]
265.5 [[1, '265.5', 'SN']]
2655 [[1, '2655', 'SN']]
2665 [[1, '2665', 'SN']]
2668 [[1, '2668', 'SN']]
2674 [[1, '2674', 'SN']]
2686 [[1, '2686', 'SN']]
269 [[1, '269', 'SN']]
2696 [[1, '2696', 'SN']]
27.3 [[1, '27.3', 'SN']]
27.7 [[1, '27.7', 'SN']]
27.9 [[1, '27.9', 'SN']]
2722 [[1, '2722', 'SN']]
2744 [[1, '2744', 'SN']]
276 [[1, '276', 'SN']]
277 [[1, '277', 'SN']]
2799 [[1, '2799', 'SN']]
28.1 [[1, '28.1', 'SN']]
28.2 [[1, '28.2', 'SN']]
28.4 [[1, '28.4', 'SN']]
28.5 [[1, '28.5', 'SN']]
28.6 [[1, '28.6', 'SN']]
28.7 [[1, '28.7', 'SN']]
28.73 [[1, '28.73', 'SN']]
2825 [[1, '2825', 'SN']]
2827 [[1, '2827', 'SN']]
284 [[1, '284', 'SN']]
2843 [[1, '2843', 'SN']]
286 [[1, '286', 'SN']]
2860 [[1, '2860', 'SN']]
287.3 [[1, '287.3', 'SN']]
2880 [[1, '2880', 'SN']]
2886 [[1, '2886', 'SN']]
29.0 [[1, '29.0', 'SN']]
29.01 [[1, '29.01', 'SN']]
29.1 [[1, '29.1', 'SN']]
29.2 [[1, '29.2', 'SN']]
29.3 [[1, '29.3', 'SN']]
29.5 [[1, '29.5', 'SN']]
29.7 [[1, '29.7', 'SN']]
29.9 [[1, '29.9', 'SN']]
2900 [[1, '2900', 'SN']]
2909 [[1, '2909', 'SN']]
2911 [[1, '2911', 'SN']]
2920 [[1, '2920', 'SN']]
2921 [[1, '2921', 'SN']]
293 [[1, '293', 'SN']]
296 [[1, '296', 'SN']]
3,500 [[1, '3,500', 'SN']]
3.13 [[1, '3.13', 'SN']]
3.15 [[1, '3.15', 'SN']]
3.17 [[1, '3.17', 'SN']]
3.19 [[1, '3.19', 'SN']]
3.20 [[1, '3.20', 'SN']]
3.22 [[1, '3.22', 'SN']]
3.34 [[1, '3.34', 'SN']]
3.41 [[1, '3.41', 'SN']]
3.45 [[1, '3.45', 'SN']]
3.47 [[1, '3.47', 'SN']]
3.75 [[1, '3.75', 'SN']]
3.78 [[1, '3.78', 'SN']]
3.80 [[1, '3.80', 'SN']]
3.93 [[1, '3.93', 'SN']]
3.96 [[1, '3.96', 'SN']]
3.98 [[1, '3.98', 'SN']]
30.0 [[1, '30.0', 'SN']]
30.2 [[1, '30.2', 'SN']]
30.4 [[1, '30.4', 'SN']]
30.5 [[1, '30.5', 'SN']]
30.6 [[1, '30.6', 'SN']]
3017 [[1, '3017', 'SN']]
3051 [[1, '3051', 'SN']]
306 [[1, '306', 'SN']]
3061 [[1, '3061', 'SN']]
307 [[1, '307', 'SN']]
308 [[1, '308', 'SN']]
3080 [[1, '3080', 'SN']]
309 [[1, '309', 'SN']]
31.1 [[1, '31.1', 'SN']]
31.22 [[1, '31.22', 'SN']]
31.35 [[1, '31.35', 'SN']]
31.4 [[1, '31.4', 'SN']]
31.8 [[1, '31.8', 'SN']]
3109 [[1, '3109', 'SN']]
311 [[1, '311', 'SN']]
3114 [[1, '3114', 'SN']]
312 [[1, '312', 'SN']]
313 [[1, '313', 'SN']]
313.8 [[1, '313.8', 'SN']]
3138 [[1, '3138', 'SN']]
3141 [[1, '3141', 'SN']]
315 [[1, '315', 'SN']]
3151 [[1, '3151', 'SN']]
3169 [[1, '3169', 'SN']]
318 [[1, '318', 'SN']]
3183 [[1, '3183', 'SN']]
319 [[1, '319', 'SN']]
319.6 [[1, '319.6', 'SN']]
32.4 [[1, '32.4', 'SN']]
32.6 [[1, '32.6', 'SN']]
322 [[1, '322', 'SN']]
323 [[1, '323', 'SN']]
3254 [[1, '3254', 'SN']]
326 [[1, '326', 'SN']]
3268 [[1, '3268', 'SN']]
3270 [[1, '3270', 'SN']]
3277 [[1, '3277', 'SN']]
328 [[1, '328', 'SN']]
329 [[1, '329', 'SN']]
33.195 [[1, '33.195', 'SN']]
33.6 [[1, '33.6', 'SN']]
33.7 [[1, '33.7', 'SN']]
3320 [[1, '3320', 'SN']]
3325 [[1, '3325', 'SN']]
333 [[1, '333', 'SN']]
3331 [[1, '3331', 'SN']]
336 [[1, '336', 'SN']]
338 [[1, '338', 'SN']]
3390 [[1, '3390', 'SN']]
3393 [[1, '3393', 'SN']]
3399 [[1, '3399', 'SN']]
34.1 [[1, '34.1', 'SN']]
34.18 [[1, '34.18', 'SN']]
34.2 [[1, '34.2', 'SN']]
34.3 [[1, '34.3', 'SN']]
34.5 [[1, '34.5', 'SN']]
34.8 [[1, '34.8', 'SN']]
34.95 [[1, '34.95', 'SN']]
3415 [[1, '3415', 'SN']]
3417 [[1, '3417', 'SN']]
343.44 [[1, '343.44', 'SN']]
344 [[1, '344', 'SN']]
3443 [[1, '3443', 'SN']]
3460 [[1, '3460', 'SN']]
348 [[1, '348', 'SN']]
3486 [[1, '3486', 'SN']]
35.1 [[1, '35.1', 'SN']]
35.3 [[1, '35.3', 'SN']]
35.5 [[1, '35.5', 'SN']]
35.6 [[1, '35.6', 'SN']]
3511 [[1, '3511', 'SN']]
3521 [[1, '3521', 'SN']]
3538 [[1, '3538', 'SN']]
354 [[1, '354', 'SN']]
354.7 [[1, '354.7', 'SN']]
355.42 [[1, '355.42', 'SN']]
3555 [[1, '3555', 'SN']]
357 [[1, '357', 'SN']]
36.12 [[1, '36.12', 'SN']]
36.25 [[1, '36.25', 'SN']]
36.3 [[1, '36.3', 'SN']]
36.4 [[1, '36.4', 'SN']]
36.7 [[1, '36.7', 'SN']]
36.9 [[1, '36.9', 'SN']]
3600 [[1, '3600', 'SN']]
361 [[1, '361', 'SN']]
362 [[1, '362', 'SN']]
3669 [[1, '3669', 'SN']]
367 [[1, '367', 'SN']]
3672 [[1, '3672', 'SN']]
368 [[1, '368', 'SN']]
37.0 [[1, '37.0', 'SN']]
37.6 [[1, '37.6', 'SN']]
37.7 [[1, '37.7', 'SN']]
3700 [[1, '3700', 'SN']]
3701 [[1, '3701', 'SN']]
3713 [[1, '3713', 'SN']]
375 [[1, '375', 'SN']]
376 [[1, '376', 'SN']]
377 [[1, '377', 'SN']]
3771 [[1, '3771', 'SN']]
378.2 [[1, '378.2', 'SN']]
38.10 [[1, '38.10', 'SN']]
38.57 [[1, '38.57', 'SN']]
38.6 [[1, '38.6', 'SN']]
38.8 [[1, '38.8', 'SN']]
380 [[1, '380', 'SN']]
3817 [[1, '3817', 'SN']]
384 [[1, '384', 'SN']]
3854 [[1, '3854', 'SN']]
3867 [[1, '3867', 'SN']]
389 [[1, '389', 'SN']]
3890 [[1, '3890', 'SN']]
39.1 [[1, '39.1', 'SN']]
39.23 [[1, '39.23', 'SN']]
39.5 [[1, '39.5', 'SN']]
39.9 [[1, '39.9', 'SN']]
391 [[1, '391', 'SN']]
392 [[1, '392', 'SN']]
3924 [[1, '3924', 'SN']]
394 [[1, '394', 'SN']]
4.002 [[1, '4.002', 'SN']]
4.005 [[1, '4.005', 'SN']]
4.03 [[1, '4.03', 'SN']]
4.10 [[1, '4.10', 'SN']]
4.112 [[1, '4.112', 'SN']]
4.16 [[1, '4.16', 'SN']]
4.24 [[1, '4.24', 'SN']]
4.32 [[1, '4.32', 'SN']]
4.33 [[1, '4.33', 'SN']]
4.47 [[1, '4.47', 'SN']]
4.53 [[1, '4.53', 'SN']]
4.57 [[1, '4.57', 'SN']]
4.59 [[1, '4.59', 'SN']]
4.875 [[1, '4.875', 'SN']]
4.91 [[1, '4.91', 'SN']]
4.97 [[1, '4.97', 'SN']]
40.3 [[1, '40.3', 'SN']]
40.6 [[1, '40.6', 'SN']]
4004 [[1, '4004', 'SN']]
401.7 [[1, '401.7', 'SN']]
4028 [[1, '4028', 'SN']]
